Game_ID,Date,Home Team,Home ID,Away Team,Away ID,Home Team Score,Away Team Score,Home EFG,Home TOV,Home ORB,Home FTFGA,Away EFG,Away TOV,Away ORB,Away FTFGA,Home Team Win
21400877,2015-03-01 00:00:00,LAC,1610612746,CHI,1610612741,96,86,0.477,0.096,0.277,0.276,0.368,0.126,0.288,0.345,1
21400883,2015-03-01 00:00:00,CLE,1610612739,HOU,1610612745,103,105,0.469,0.158,0.44,0.214,0.534,0.222,0.205,0.446,0
21400879,2015-03-01 00:00:00,POR,1610612757,SAC,1610612758,110,99,0.554,0.174,0.297,0.241,0.471,0.127,0.179,0.267,1
21400880,2015-03-01 00:00:00,GSW,1610612744,BOS,1610612738,106,101,0.484,0.103,0.278,0.179,0.404,0.077,0.344,0.156,1
21400881,2015-03-01 00:00:00,PHI,1610612755,IND,1610612754,74,94,0.375,0.181,0.2,0.202,0.426,0.14,0.26,0.284,0
21400882,2015-03-01 00:00:00,CHA,1610612766,ORL,1610612753,98,83,0.55,0.168,0.171,0.175,0.4,0.116,0.2,0.235,1
21400878,2015-03-01 00:00:00,OKC,1610612760,LAL,1610612747,108,101,0.469,0.09,0.286,0.237,0.494,0.092,0.188,0.2,1
21400884,2015-03-01 00:00:00,NOP,1610612740,DEN,1610612743,99,92,0.52,0.17,0.243,0.405,0.451,0.135,0.314,0.185,1
21400885,2015-03-02 00:00:00,TOR,1610612761,PHI,1610612755,114,103,0.581,0.12,0.278,0.3,0.577,0.173,0.278,0.244,1
21400886,2015-03-02 00:00:00,GSW,1610612744,BKN,1610612751,108,110,0.528,0.156,0.386,0.2,0.551,0.133,0.25,0.18,0
21400887,2015-03-02 00:00:00,PHX,1610612756,MIA,1610612748,98,115,0.468,0.191,0.298,0.487,0.567,0.161,0.293,0.366,0
21400888,2015-03-02 00:00:00,LAC,1610612746,MIN,1610612750,110,105,0.543,0.116,0.188,0.207,0.463,0.118,0.19,0.427,1
21400889,2015-03-02 00:00:00,NOP,1610612740,DAL,1610612742,93,102,0.541,0.155,0.256,0.216,0.519,0.081,0.25,0.278,0
21400669,2015-03-03 00:00:00,SAC,1610612758,NYK,1610612752,124,86,0.554,0.133,0.216,0.446,0.39,0.148,0.191,0.366,1
21400890,2015-03-03 00:00:00,LAL,1610612747,CHA,1610612766,103,104,0.488,0.11,0.14,0.244,0.525,0.12,0.125,0.392,0
21400891,2015-03-03 00:00:00,BOS,1610612738,CLE,1610612739,79,110,0.392,0.153,0.216,0.148,0.539,0.117,0.279,0.157,0
21400892,2015-03-03 00:00:00,HOU,1610612745,ATL,1610612737,96,104,0.511,0.131,0.167,0.1,0.5,0.148,0.214,0.244,0
21400893,2015-03-03 00:00:00,WAS,1610612764,CHI,1610612741,92,97,0.464,0.118,0.213,0.226,0.481,0.165,0.256,0.385,0
21400894,2015-03-03 00:00:00,UTA,1610612762,MEM,1610612763,93,82,0.481,0.177,0.35,0.238,0.421,0.122,0.212,0.232,1
21400895,2015-03-03 00:00:00,MIL,1610612749,DEN,1610612743,95,106,0.465,0.138,0.186,0.256,0.523,0.13,0.195,0.233,0
21400896,2015-03-04 00:00:00,NYK,1610612752,IND,1610612754,82,105,0.434,0.21,0.256,0.303,0.538,0.118,0.19,0.3,0
21400897,2015-03-04 00:00:00,PHX,1610612756,ORL,1610612753,105,100,0.519,0.188,0.214,0.342,0.5,0.199,0.265,0.172,1
21400898,2015-03-04 00:00:00,UTA,1610612762,BOS,1610612738,84,85,0.473,0.16,0.289,0.28,0.42,0.034,0.231,0.227,0
21400899,2015-03-04 00:00:00,CHA,1610612766,BKN,1610612751,115,91,0.541,0.132,0.316,0.329,0.415,0.094,0.245,0.273,1
21400900,2015-03-04 00:00:00,CLE,1610612739,TOR,1610612761,120,112,0.609,0.097,0.25,0.436,0.608,0.102,0.212,0.215,1
21400901,2015-03-04 00:00:00,MEM,1610612763,HOU,1610612745,102,100,0.53,0.107,0.2,0.205,0.552,0.146,0.279,0.058,1
21400902,2015-03-04 00:00:00,DEN,1610612743,MIN,1610612750,100,85,0.5,0.145,0.311,0.109,0.409,0.138,0.245,0.305,1
21400903,2015-03-04 00:00:00,DET,1610612765,NOP,1610612740,85,88,0.419,0.19,0.34,0.097,0.422,0.155,0.294,0.178,0
21400904,2015-03-04 00:00:00,PHI,1610612755,OKC,1610612760,118,123,0.432,0.146,0.262,0.458,0.495,0.121,0.176,0.354,0
21400905,2015-03-04 00:00:00,LAL,1610612747,MIA,1610612748,94,100,0.472,0.137,0.143,0.193,0.424,0.15,0.271,0.544,0
21400906,2015-03-04 00:00:00,SAC,1610612758,SAS,1610612759,85,112,0.391,0.175,0.182,0.436,0.588,0.168,0.229,0.188,0
21400907,2015-03-04 00:00:00,MIL,1610612749,GSW,1610612744,93,102,0.456,0.242,0.348,0.313,0.603,0.184,0.114,0.342,0
21400908,2015-03-04 00:00:00,POR,1610612757,LAC,1610612746,98,93,0.437,0.151,0.192,0.333,0.443,0.087,0.15,0.188,1
21400909,2015-03-05 00:00:00,OKC,1610612760,CHI,1610612741,105,108,0.511,0.102,0.182,0.216,0.5,0.104,0.267,0.299,0
21400910,2015-03-05 00:00:00,DAL,1610612742,POR,1610612757,75,94,0.386,0.132,0.111,0.091,0.457,0.161,0.186,0.256,0
21400911,2015-03-06 00:00:00,TOR,1610612761,CHA,1610612766,94,103,0.445,0.051,0.1,0.165,0.5,0.162,0.289,0.235,0
21400912,2015-03-06 00:00:00,CHI,1610612741,IND,1610612754,84,98,0.39,0.139,0.28,0.221,0.463,0.122,0.333,0.413,0
21400913,2015-03-06 00:00:00,SAC,1610612758,ORL,1610612753,114,119,0.506,0.145,0.396,0.447,0.641,0.127,0.25,0.141,0
21400914,2015-03-06 00:00:00,UTA,1610612762,PHI,1610612755,89,83,0.423,0.198,0.286,0.577,0.42,0.144,0.26,0.205,1
21400920,2015-03-06 00:00:00,MIA,1610612748,WAS,1610612764,97,99,0.532,0.159,0.195,0.241,0.506,0.175,0.256,0.22,0
21400915,2015-03-06 00:00:00,CLE,1610612739,ATL,1610612737,97,106,0.514,0.197,0.27,0.478,0.548,0.139,0.289,0.202,0
21400916,2015-03-06 00:00:00,PHX,1610612756,BKN,1610612751,108,100,0.445,0.137,0.235,0.385,0.392,0.179,0.316,0.299,1
21400917,2015-03-06 00:00:00,DET,1610612765,HOU,1610612745,93,103,0.392,0.126,0.311,0.167,0.451,0.176,0.295,0.275,0
21400918,2015-03-06 00:00:00,LAL,1610612747,MEM,1610612763,90,97,0.494,0.108,0.125,0.107,0.448,0.086,0.152,0.429,0
21400919,2015-03-06 00:00:00,BOS,1610612738,NOP,1610612740,104,98,0.519,0.117,0.163,0.316,0.525,0.188,0.231,0.188,1
21400921,2015-03-06 00:00:00,DEN,1610612743,SAS,1610612759,111,120,0.558,0.129,0.195,0.267,0.601,0.09,0.091,0.418,0
21400922,2015-03-06 00:00:00,DAL,1610612742,GSW,1610612744,89,104,0.402,0.12,0.067,0.299,0.537,0.215,0.225,0.235,0
21400923,2015-03-07 00:00:00,MEM,1610612763,NOP,1610612740,89,95,0.473,0.151,0.19,0.392,0.525,0.186,0.184,0.163,0
21400924,2015-03-07 00:00:00,PHX,1610612756,CLE,1610612739,79,89,0.411,0.125,0.277,0.167,0.467,0.17,0.286,0.307,0
21400925,2015-03-07 00:00:00,SAC,1610612758,MIA,1610612748,109,114,0.511,0.203,0.286,0.273,0.556,0.134,0.105,0.413,0
21400926,2015-03-07 00:00:00,IND,1610612754,NYK,1610612752,92,86,0.424,0.13,0.3,0.38,0.404,0.143,0.283,0.385,1
21400927,2015-03-07 00:00:00,ATL,1610612737,PHI,1610612755,84,92,0.461,0.194,0.116,0.208,0.437,0.158,0.315,0.179,0
21400928,2015-03-07 00:00:00,POR,1610612757,MIN,1610612750,113,121,0.568,0.104,0.205,0.193,0.565,0.083,0.27,0.365,0
21400929,2015-03-07 00:00:00,WAS,1610612764,MIL,1610612749,85,91,0.438,0.181,0.292,0.272,0.526,0.186,0.222,0.192,0
21400930,2015-03-07 00:00:00,HOU,1610612745,DEN,1610612743,114,100,0.523,0.198,0.256,0.372,0.462,0.169,0.245,0.207,1
21400931,2015-03-08 00:00:00,CHI,1610612741,SAS,1610612759,105,116,0.541,0.218,0.206,0.397,0.539,0.07,0.178,0.267,0
21400932,2015-03-08 00:00:00,LAC,1610612746,GSW,1610612744,98,106,0.53,0.183,0.231,0.169,0.563,0.153,0.189,0.288,0
21400933,2015-03-08 00:00:00,UTA,1610612762,BKN,1610612751,95,88,0.542,0.206,0.343,0.292,0.553,0.159,0.184,0.145,1
21400934,2015-03-08 00:00:00,CHA,1610612766,DET,1610612765,108,101,0.557,0.105,0.121,0.291,0.455,0.112,0.271,0.281,1
21400935,2015-03-08 00:00:00,BOS,1610612738,ORL,1610612753,98,103,0.478,0.17,0.321,0.18,0.477,0.154,0.375,0.345,0
21400936,2015-03-08 00:00:00,TOR,1610612761,OKC,1610612760,104,108,0.485,0.082,0.25,0.092,0.549,0.184,0.382,0.305,0
21400937,2015-03-08 00:00:00,DAL,1610612742,LAL,1610612747,100,93,0.545,0.089,0.158,0.282,0.476,0.173,0.357,0.256,1
21400938,2015-03-09 00:00:00,WAS,1610612764,CHA,1610612766,95,69,0.529,0.141,0.216,0.059,0.351,0.171,0.163,0.26,1
21400939,2015-03-09 00:00:00,SAC,1610612758,ATL,1610612737,105,130,0.531,0.178,0.41,0.247,0.716,0.138,0.294,0.08,0
21400940,2015-03-09 00:00:00,BOS,1610612738,MIA,1610612748,100,90,0.483,0.123,0.372,0.195,0.449,0.141,0.156,0.493,1
21400941,2015-03-09 00:00:00,MEM,1610612763,CHI,1610612741,101,91,0.53,0.115,0.167,0.202,0.5,0.181,0.214,0.175,1
21400942,2015-03-09 00:00:00,NOP,1610612740,MIL,1610612749,114,103,0.647,0.195,0.37,0.28,0.549,0.154,0.25,0.437,1
21400943,2015-03-09 00:00:00,NYK,1610612752,DEN,1610612743,78,106,0.42,0.152,0.178,0.333,0.483,0.083,0.229,0.333,0
21400944,2015-03-09 00:00:00,GSW,1610612744,PHX,1610612756,98,80,0.5,0.179,0.225,0.229,0.403,0.19,0.133,0.299,1
21400945,2015-03-09 00:00:00,MIN,1610612750,LAC,1610612746,76,89,0.386,0.157,0.267,0.253,0.513,0.173,0.191,0.19,0
21400946,2015-03-10 00:00:00,ORL,1610612753,IND,1610612754,86,118,0.391,0.109,0.333,0.217,0.629,0.15,0.297,0.141,0
21400947,2015-03-10 00:00:00,NOP,1610612740,BKN,1610612751,111,91,0.586,0.116,0.216,0.126,0.452,0.127,0.267,0.274,1
21400948,2015-03-10 00:00:00,CLE,1610612739,DAL,1610612742,127,94,0.592,0.138,0.308,0.333,0.438,0.166,0.283,0.407,1
21400949,2015-03-10 00:00:00,TOR,1610612761,SAS,1610612759,107,117,0.485,0.094,0.36,0.186,0.547,0.114,0.317,0.353,0
21400950,2015-03-10 00:00:00,NYK,1610612752,UTA,1610612762,82,87,0.424,0.151,0.19,0.215,0.471,0.145,0.167,0.414,0
21400951,2015-03-10 00:00:00,DET,1610612765,LAL,1610612747,85,93,0.429,0.148,0.25,0.226,0.447,0.133,0.25,0.4,0
21400952,2015-03-11 00:00:00,SAC,1610612758,CHA,1610612766,113,106,0.518,0.125,0.171,0.353,0.484,0.104,0.217,0.28,1
21400953,2015-03-11 00:00:00,CHI,1610612741,PHI,1610612755,104,95,0.517,0.17,0.174,0.23,0.399,0.093,0.254,0.24,1
21400954,2015-03-11 00:00:00,MEM,1610612763,BOS,1610612738,92,95,0.506,0.222,0.294,0.167,0.482,0.174,0.279,0.2,0
21400955,2015-03-11 00:00:00,BKN,1610612751,MIA,1610612748,98,104,0.479,0.216,0.333,0.534,0.494,0.113,0.268,0.469,0
21400956,2015-03-11 00:00:00,ORL,1610612753,MIL,1610612749,91,97,0.459,0.146,0.184,0.153,0.544,0.235,0.314,0.203,0
21400957,2015-03-11 00:00:00,LAC,1610612746,OKC,1610612760,120,108,0.559,0.14,0.282,0.618,0.513,0.198,0.289,0.474,1
21400958,2015-03-11 00:00:00,ATL,1610612737,DEN,1610612743,102,115,0.475,0.175,0.195,0.333,0.577,0.188,0.314,0.238,0
21400959,2015-03-11 00:00:00,MIN,1610612750,PHX,1610612756,97,106,0.451,0.111,0.293,0.321,0.533,0.176,0.421,0.144,0
21400960,2015-03-11 00:00:00,DET,1610612765,GSW,1610612744,98,105,0.449,0.151,0.373,0.122,0.565,0.176,0.25,0.155,0
21400961,2015-03-11 00:00:00,HOU,1610612745,POR,1610612757,100,105,0.478,0.11,0.214,0.253,0.511,0.196,0.364,0.152,0
21400962,2015-03-12 00:00:00,MIL,1610612749,IND,1610612754,103,109,0.407,0.137,0.222,0.396,0.551,0.19,0.143,0.354,0
21400963,2015-03-12 00:00:00,MEM,1610612763,WAS,1610612764,87,107,0.406,0.225,0.304,0.375,0.531,0.143,0.27,0.388,0
21400965,2015-03-12 00:00:00,HOU,1610612745,UTA,1610612762,91,109,0.475,0.099,0.186,0.304,0.538,0.153,0.431,0.185,0
21400964,2015-03-12 00:00:00,CLE,1610612739,SAS,1610612759,128,125,0.56,0.114,0.256,0.33,0.609,0.126,0.257,0.31,1
21400966,2015-03-12 00:00:00,NYK,1610612752,LAL,1610612747,101,94,0.526,0.087,0.1,0.338,0.45,0.143,0.341,0.233,1
21400967,2015-03-13 00:00:00,CHI,1610612741,CHA,1610612766,91,101,0.47,0.113,0.095,0.232,0.41,0.122,0.347,0.371,0
21400968,2015-03-13 00:00:00,SAC,1610612758,PHI,1610612755,107,114,0.425,0.169,0.333,0.46,0.521,0.149,0.292,0.242,0
21400969,2015-03-13 00:00:00,ORL,1610612753,BOS,1610612738,88,95,0.463,0.195,0.213,0.35,0.488,0.167,0.2,0.233,0
21400970,2015-03-13 00:00:00,MIA,1610612748,TOR,1610612761,92,102,0.475,0.195,0.171,0.304,0.506,0.169,0.196,0.392,0
21400971,2015-03-13 00:00:00,MIN,1610612750,OKC,1610612760,99,113,0.455,0.203,0.31,0.397,0.49,0.154,0.396,0.139,0
21400972,2015-03-13 00:00:00,LAC,1610612746,DAL,1610612742,99,129,0.573,0.164,0.262,0.146,0.702,0.16,0.364,0.19,0
21400973,2015-03-13 00:00:00,GSW,1610612744,DEN,1610612743,103,114,0.467,0.079,0.188,0.239,0.549,0.141,0.333,0.451,0
21400974,2015-03-13 00:00:00,ATL,1610612737,PHX,1610612756,96,87,0.518,0.129,0.171,0.145,0.474,0.191,0.262,0.269,1
21400975,2015-03-13 00:00:00,DET,1610612765,POR,1610612757,99,118,0.489,0.066,0.234,0.132,0.644,0.111,0.219,0.213,0
21400976,2015-03-14 00:00:00,BOS,1610612738,IND,1610612754,93,89,0.47,0.126,0.214,0.253,0.453,0.171,0.191,0.176,1
21400977,2015-03-14 00:00:00,SAC,1610612758,WAS,1610612764,97,113,0.494,0.178,0.256,0.364,0.611,0.141,0.265,0.21,0
21400978,2015-03-14 00:00:00,BKN,1610612751,PHI,1610612755,94,87,0.452,0.153,0.163,0.31,0.415,0.162,0.24,0.149,1
21400979,2015-03-14 00:00:00,MIL,1610612749,MEM,1610612763,83,96,0.451,0.174,0.222,0.375,0.526,0.163,0.216,0.205,0
21400980,2015-03-14 00:00:00,DET,1610612765,UTA,1610612762,85,88,0.429,0.153,0.314,0.262,0.522,0.196,0.263,0.348,0
21400981,2015-03-14 00:00:00,NYK,1610612752,GSW,1610612744,94,125,0.443,0.162,0.37,0.167,0.606,0.109,0.205,0.189,0
21400982,2015-03-15 00:00:00,CHI,1610612741,OKC,1610612760,100,109,0.5,0.115,0.205,0.289,0.506,0.17,0.415,0.345,0
21400983,2015-03-15 00:00:00,HOU,1610612745,LAC,1610612746,100,98,0.413,0.125,0.208,0.419,0.512,0.191,0.2,0.293,1
21400984,2015-03-15 00:00:00,DEN,1610612743,NOP,1610612740,118,111,0.49,0.098,0.218,0.192,0.495,0.169,0.273,0.212,1
21400985,2015-03-15 00:00:00,CLE,1610612739,ORL,1610612753,123,108,0.711,0.173,0.1,0.25,0.528,0.136,0.354,0.307,1
21400986,2015-03-15 00:00:00,MIN,1610612750,SAS,1610612759,97,123,0.483,0.162,0.234,0.209,0.655,0.142,0.171,0.179,0
21400987,2015-03-15 00:00:00,POR,1610612757,TOR,1610612761,113,97,0.599,0.104,0.175,0.186,0.506,0.168,0.231,0.295,1
21400988,2015-03-15 00:00:00,NYK,1610612752,PHX,1610612756,89,102,0.473,0.139,0.136,0.411,0.53,0.14,0.31,0.277,0
21400989,2015-03-15 00:00:00,ATL,1610612737,LAL,1610612747,91,86,0.48,0.138,0.167,0.355,0.441,0.233,0.413,0.176,1
21400990,2015-03-16 00:00:00,TOR,1610612761,IND,1610612754,117,98,0.549,0.118,0.179,0.402,0.443,0.04,0.083,0.284,1
21400991,2015-03-16 00:00:00,POR,1610612757,WAS,1610612764,97,105,0.449,0.107,0.275,0.225,0.543,0.074,0.15,0.317,0
21400992,2015-03-16 00:00:00,PHI,1610612755,BOS,1610612738,89,108,0.452,0.158,0.196,0.286,0.545,0.109,0.139,0.17,0
21400993,2015-03-16 00:00:00,DEN,1610612743,MEM,1610612763,81,92,0.42,0.166,0.213,0.259,0.425,0.217,0.426,0.35,0
21400994,2015-03-16 00:00:00,BKN,1610612751,MIN,1610612750,122,106,0.606,0.142,0.361,0.189,0.517,0.162,0.302,0.193,1
21400995,2015-03-16 00:00:00,CLE,1610612739,MIA,1610612748,92,106,0.449,0.143,0.152,0.342,0.579,0.176,0.194,0.289,0
21400996,2015-03-16 00:00:00,OKC,1610612760,DAL,1610612742,115,119,0.483,0.192,0.37,0.389,0.528,0.119,0.16,0.393,0
